Feed_ID,Feed_name,Catergory,Price(Won/kg),Concentrate(%),Forage(%),DM(%AF),NDF (%DM),Lignin (%NDF),CP (%DM),Sol-P (%CP),NPN (%Sol-P),NDICP (%CP),ADICP (%CP),Starch (%NSC),Crude fat (%DM),Crude ash (%DM),peNDF (%NDF),CHO-A (%/hr),CHO-B1 (%/hr),CHO-B2 (%/hr),CHO-C (%/hr),Protein-A (%/hr),Protein-B1 (%/hr),Protein-B2 (%/hr),Protein-B3 (%/hr),Protein-C (%/hr),ID-CHO-A (%),ID-CHO-B1 (%),ID-CHO-B2 (%),ID-CHO-C (%),ID-Protein-A (%),ID-Protein-B1 (%),ID-Protein-B2 (%),ID-Protein-B3 (%),ID-Protein-C (%),ID-Fat (%),ID-Ash (%),Methionine (%UIP),Lysine (%UIP),Arginine (%UIP),Threonine (%UIP),Leucine (%UIP),Isoleucine (%UIP),Valine (%UIP),Histidine (%UIP),Phenylalanine (%UIP),Tryptophan (%UIP),TDN (%DM),ME (Mcal/kg),NEm (Mcal/kg),NEg (Mcal/kg),RUP-3X (%CP),RUP-1X (%CP),Ca (%),P (%),Mg (%),Cl (%),K (%),0 (%),S (%),Co (mg/kg),Cu (mg/kg),I (mg/kg),Fe (mg/kg),Mn (mg/kg),Se (mg/kg),Zn (mg/kg),Vit A (1000 IU/kg),Vit D (1000 IU/kg),Vit E (IU/kg),Ca-Bio,P-Bio,Mg-Bio,Cl-Bio,K-Bio,0-Bio,S-Bio,Co-Bio,Cu-Bio,I-Bio,Fe-Bio,Mn-Bio,Se-Bio,Zn-Bio,VitA-Bio,VitD-Bio,VitE-Bio,Starch,Sugar,Lactic,Acetic,Proprionic,Butyric,Isobutyric,pH,AmmoniaCPE
1,Almond Hulls (CA) -  (601),By-Product Feed,0,100,0,88,33.7,30.1,5.67,93,93,30.5,30,95,2.39,5.03,85,300,40,4.2,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.47,4.54,4.72,2.74,4.86,2.46,3.3,1.84,2.99,1.64,64.2,0,0,0,22.8,26.8,0.22,0.08,0.16,0,2.57,0.02,0,0,11,0,334,21,0.067,30,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
2,Apple - Pomace (602),By-Product Feed,0,0,100,22,41,2,5.4,11,100,30,31.5,100,4.7,5,30,350,50,5,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.67,2.83,2.83,2.83,5.49,2.83,3.83,1,3.5,4.5,69,2.49,1.6,1,49.9,41,0.23,0.11,0,0,0.53,0,0.11,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
3,Bakery  - Waste (603),By-Product Feed,0,100,0,92,18,5.56,9,40,75,6,3,85,12.7,5,10,300,16,7,0,100000,100,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.77,3.17,4.77,4.95,7.47,4.57,4.3,1.3,4.1,1,89,3.22,2.15,1.36,25.5,15.1,0.15,0.24,0.18,1.61,0.43,1.12,0.02,1.342,12.1,0,180,71.2,0,19.5,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
4,Barley - Malt Sprouts w/hulls (604),By-Product Feed,0,100,0,93,46,6.52,28.1,48,83,27,4,85,1.4,7,40,250,30,5,0,100000,135,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.17,3.5,11.7,2.83,6.67,3.67,4.5,2.17,5.17,1,71,2.57,1.45,0.89,35.4,30.2,0.19,0.68,0.18,0.39,0.27,0.95,0.85,0,6.3,0,200,31.7,0.448,60.7,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
5,Beet Pulp - Dehy (605) ground pellet,By-Product Feed,0,100,0,91,44.6,3.703703704,9.8,27,96,53,11,90,0.6,5.3,30,300,40,8,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,74,2.68,1.73,1.03,56.9,50.1,0.68,0.1,0.28,0.04,0.22,0.2,0.22,0.081,13.8,0,293,37.7,0.12,1,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
6,Beet pulp (CA) -  (606) shreds,By-Product Feed,0,100,0,91,35.8,4.13,8.73,27,96,46.1,7.4,90,0.48,8.45,50,300,40,8,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,70.5,0,0,0,52.5,44.7,1.14,0.06,0.26,0,2.01,1.19,0,0,8,0,451,73,0.139,31,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
7,Bloodmeal -  (607),By-Product Feed,0,100,0,90,0.917,0,93.79,5,0,1,1,0,1.7,2.62,0,0,0,0,0,100000,135,3,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.07,9.34,5.01,4.73,13.4,0.88,9.08,6.45,7.86,1.88,66,2.39,1.31,0.82,65.7,43.5,0.4,0.32,0.04,0.33,0.31,0.4,0.8,0.097,13.9,0,2281,11.7,0.801,33,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
8,Citrus Pulp - Dehy (608) pellets,By-Product Feed,0,100,0,91,23,13.04,6.7,27,96,53,11,90,3.7,6.6,30,350,50,9,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,82,2.97,1.99,1.2,58.4,52.3,1.88,0.13,0.17,0,0.77,0.08,0.08,0.185,6.15,0,360,7,0,15,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
9,Citrus pulp (CA) -  (609) shreds,By-Product Feed,0,100,0,91,17.7,5.144149237,6.4,27,96,6.8,5.1,90,1.12,5.14,50,350,50,9,0,100000,350,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.65,3,4.43,3.17,4.61,2.69,4.5,1.87,2.8,1.1,78,0,0,0,30.5,18.2,1.43,0.11,0.1,0,0.67,1.07,0,0,2,0,82,7,0,37,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
10,Cottonseed Hulls -  (610) with hay,By-Product Feed,0,0,100,91,90,24,4.1,20,50,13,13,60,1.7,4,90,300,25,6,0,100000,175,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.91,5.05,11.81,4.14,6.67,4.34,5.49,2.4,6.59,0.3,45,0,0.64,0.37,26.5,19.4,0.150000006,0.090000004,0.140000001,0.02,0.870000005,0.02,0.090000004,0.02,13,0,131,119,0.02,22,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
11,Rice Bran -  (615),By-Product Feed,0,100,0,91,33,13,14.4,40,80,47,2,90,15.1,10,10,300,40,8,0,100000,250,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.88,4.31,7.01,3.5,6.64,3.28,4.96,2.55,4.38,0.88,70,2.53,1.633484659,1.027006288,49.5,43.7,0.08,1.73,0.94,0.08,1.87,0.04,0.2,1.526,12.1,0,0.021,372.4,0.44,33,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
12,Rice Bran (CA) -  (616),By-Product Feed,0,100,0,91,21.6,16.6,13.7,40,80,15.5,3.1,90,20.5,6.87,10,300,40,8,0,100000,250,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.88,4.31,7.01,3.5,6.64,3.28,4.96,2.55,4.38,0.88,96.6,0,0,0,30.8,21.6,0.08,1.72,0.75,0,1.55,0.1,0,0,10,0,115,276,174,86,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
13,Soybean - Hulls (617) pelleted,By-Product Feed,0,100,0,91,66.3,2.99,12.2,18,72,20,14,90,2.1,4.9,30,350,40,8,0,100000,150,12,0.15,0,100,75,20,0,100,100,100,80,0,95,50,0.47,4.54,4.72,2.74,4.86,2.46,3.3,1.84,2.99,0.53,80,2.89,1.29,0.93,41.7,30.2,0.53,0.18,0.22,0,1.29,0.03,0.11,0.121,17.8,0,409,10,0.14,48,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
14,Wheat Bran -  (620),By-Product Feed,0,100,0,89,51,5.88,17.1,29.42,45,21.9,6.37,94.6,4.4,6.9,30,300,40,4,0,100000,250,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,0.75,3.67,7.76,3.71,6.56,3.68,5.4,2.96,4.53,1.2,70,0,1.58,1.02,39,37,0.13,1.38,0.6,0.05,1.56,0.04,0.25,0.11,14,0.07,128,125,0.43,128,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
15,Whey - Acid (621),By-Product Feed,0,100,0,7,0,0,14.2,100,8,0,0,0,0.7,10,0,350,0,0,0,100000,350,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,78,2.82,1.95,1.13,1.7,0.6,0.81,0.71,0,0,2.75,0,0,0,0,0,290,3.2,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
16,Whey - Delact. (622),By-Product Feed,0,100,0,93,0,0,17.9,100,8,0,0,0,1.1,17,0,350,0,0,0,100000,350,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,71,2.57,1.77,0.99,1.7,0.6,1.6,1.18,0.23,1.1,3.16,1.54,1.15,0,7.5,10.554,270,8.6,0.056,8.4,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
17,Alimet,Commercial Feed,0,100,0,88,0,0,100,100,0,0,0,0,0,0,0,300,30,6,0,100000,10,0,0,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,2.58,1.83,39.5,19.8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
18,AT88,Commercial Feed,0,100,0,88,0,0,100,100,0,0,0,0,0,0,0,300,30,6,0,100000,500,0,0,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,2.58,1.83,39.5,19.8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
19,Biochlor,Commercial Feed,0,100,0,85,30,3,50,70,40,7,0.75,10,3.7,10,30,300,40,8,0,100000,100,5,0.18,0,100,75,20,0,100,100,100,80,0,95,50,2.8,8.2,6.96,5.59,7.51,5.88,6.16,2,5.16,1.63,0,0,2.02,1.36,22.3,15.1,0.18,1.17,0.43,8,1.51,1.5,2,0,9,0,252,105,0,74,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
20,Biophos,Commercial Feed,0,100,0,95,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21.2,0.7,0,0.04,0.08,1,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
21,Ener GII,Commercial Feed,0,100,0,98,0,0,0,0,0,0,0,0,85,15,0,300,30,6,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,8.1,6.29,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
22,Energy Booster,Commercial Feed,0,100,0,99,0,0,0,0,0,0,0,0,99,1,0,300,30,6,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,6.66,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
23,Fermenten,Commercial Feed,0,100,0,90,25,3,50,70,40,7,0.75,10,3.7,10,30,300,40,8,0,100000,100,5,0.18,0,100,75,20,0,100,100,100,80,0,95,50,2.8,8.2,6.96,5.59,7.51,5.88,6.16,2,5.16,1.63,0,0,2.07,1.41,22.3,15.1,0.18,1.17,0.43,0,1.51,1.5,2,0,9,0,252,105,0,74,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
24,Megalac,Commercial Feed,0,100,0,98,0,0,0,0,0,0,0,0,84.5,15.5,0,300,30,6,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,8.1,6.29,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
25,Megalac Plus,Commercial Feed,0,100,0,98,0,0,6.12,0,0,0,0,0,79.88,14,0,300,30,6,0,100000,0,3,0,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,7.68,5.92,68.5,45.2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
26,Mepron,Commercial Feed,0,100,0,98,0,0,85,15,100,0,17,0,0,2,0,300,30,6,0,100000,300,0,0,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,2.46,1.73,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
27,Met Plus,Commercial Feed,0,100,0,98,0,0,67,10,0,0,5,0,29.5,3.5,0,0,0,0,0,100000,7,7,7,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,4.1,3.01,50.9,29.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
28,Met Plus with Talc,Commercial Feed,0,100,0,98,0,0,66,5,0,0,10,0,29,5,0,0,0,0,0,100000,3,3,3,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,4,0,0,2.94,71.7,50.6,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
29,Mopac 74/74,Commercial Feed,0,100,0,93,25.63,0,79.67,10,47,34,16.16,40,8.9,7.55,0,263,28,4,0,100000,180,4,0.18,0,100,75,20,0,100,100,100,80,0,95,50,0.88,5.27,7.01,3.88,8.93,3,7.08,2,5.37,1.02,0,0,2.72,1.94,68.4,54.2,2.03,1.28,0.48,0,0.91,0.37,0,0,6,0,892,13,0,64,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
30,Mopac 75/76,Commercial Feed,0,100,0,94,23.07,0,79.78,11,39,31,13.14,31,7.94,8.97,0,267,28,4,0,100000,189,5,0.2,0,100,75,20,0,100,100,100,80,0,95,50,1.24,6.24,7.07,4.32,9.68,3.18,7.28,3,5.66,1.17,0,0,2.63,1.87,63.5,48.9,3.18,1.59,0.42,0,0.32,0.32,0,0,6.58,0,844,14,0,76,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
31,Mopac Multi-60%,Commercial Feed,0,100,0,92,31,0,67.48,14,47,43,14.5,31,11.62,14.13,0,272,25,3,0,100000,231,7,0.28,0,100,75,20,0,100,100,100,80,0,95,50,1.26,4.87,7.82,3.56,7.03,3.61,5.48,1,4.01,0.72,0,0,2.63,1.87,62.7,51.3,5.4,2.43,0.54,0,0.3,0.49,0,0,3.67,0,324,13,0,92,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
32,Mopac RenPlus-68%,Commercial Feed,0,100,0,93,23.86,0,73.08,12,35,33,11.17,25,9.07,12.68,0,264,26,3,0,100000,207,6,0.25,0,100,75,20,0,100,100,100,80,0,95,50,1.44,6.13,7.23,4.13,8.73,3.35,6.4,2,4.97,1.05,0,0,2.56,1.81,61,47.1,4.29,2.14,0.43,0,0.32,0.48,0,0,6.65,0,852,14,0,77,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
33,Mopac RenPride-70%,Commercial Feed,0,100,0,91,29.69,0,71.28,12,50,40,16.16,38,10.82,10.46,0,263,26,3,0,100000,205,6,0.23,0,100,75,20,0,100,100,100,80,0,95,50,1.42,5.33,7.6,4.3,8.44,4.06,6.55,2,4.79,0.95,0,0,2.72,1.94,64.3,52,3.82,2.19,0.42,0,0.33,0.51,0,0,6,1,680,16,0,75,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
34,Mopac RenSupreme-73%,Commercial Feed,0,100,0,94,24.14,0,77.81,12,39,33,13.06,32,8.46,10.57,0,270,28,4,0,100000,197,5,0.23,0,100,75,20,0,100,100,100,80,0,95,50,1.26,6.05,7.24,4.17,9.18,3.25,6.92,2,5.35,1.1,0,0,2.6,1.85,63.6,49.5,3.18,1.8,0.23,0,0.33,0.35,0,0,9,1,943,14,1,123,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
35,Optigen 1200,Commercial Feed,0,100,0,99.5,0,0,270,35,100,0,0,0,0,0,0,0,0,0,0,100000,350,50,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
36,Pro Peak-70,Commercial Feed,0,100,0,91,23.9,0,76.5,9,43,35,12.42,41,7.2,11.5,0,295,30,3,0,100000,202,3,0.31,0,100,75,20,0,100,100,100,80,0,95,50,0.92,5.33,6.39,4.1,9.24,3.01,7.27,2,5.49,1.04,0,0,2.51,1.77,72.1,57.3,3.59,1.78,0.11,0,0.35,0.55,0,0,14,0,256,12,0,77,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
37,Pro Peak-75,Commercial Feed,0,100,0,91,16.2,0.5,80.2,7,38,22,8.52,65,6.2,8.52,0,294,38,3,0,100000,169,3,0.28,0,100,75,20,0,100,100,100,80,0,95,50,1.05,5.95,5.72,4.17,11.11,2.6,7.63,3,6.27,1.21,0,0,2.54,1.8,69.9,52.3,1.54,0.89,0.07,0,0.28,0.45,0,0,12,0,242,7,0,53,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
38,Pro Peak-80,Commercial Feed,0,100,0,90,11.5,1.28,85.2,5,41,13,8.12,96,4.8,4.88,0,250,41,5,0,100000,135,3,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.09,6.03,5.36,4.26,12.5,2.52,8.06,4,6.88,1.31,0,0,2.57,1.82,68.7,49.3,0.17,0.3,0.05,0,0.24,0.37,0,0,11,0,235,4,0,36,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
39,Prolak,Commercial Feed,0,100,0,93,17.7,0,76.88,10,50,23,6.61,0,9.72,13.71,0,300,25,3,0,100000,106,2,0.21,0,100,75,20,0,100,100,100,80,0,95,50,1.57,6.05,5.82,4.22,8.66,3.06,6.51,3,5.35,1.08,0,0,2.57,1.82,74.1,58.9,3.71,1.89,0.16,0,0.52,0.77,0,2,12,11,984,14,0,77,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
40,Sea Lac,Commercial Feed,0,100,0,90,0,0,71,9,83,24,2,0,8.4,21.1,0,300,50,7,0,100000,130,2,1,0,100,75,20,0,100,100,100,80,0,95,50,3.13,8.39,5.97,4.27,7.68,4.13,4.69,2,3.84,1,0,0,2.39,1.67,72.5,54.7,6.3,3.7,0.2,0,0.7,0.5,0,0,5,1,726,0,2,122,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
41,Smartamine M,Commercial Feed,0,100,0,98,0,0,70,10,0,0,10,0,0,30,0,300,30,6,0,100000,300,0,0,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,0,0,1.45,0.86,90.2,90.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
42,Soy Best,Commercial Feed,0,100,0,88,35.8,11.85,45,9,53,45,5.97,95,6.3,8.05,30,300,25,6,0,100000,230,11,0.2,0,100,75,20,0,100,100,100,80,0,95,50,1.59,6.15,7.42,4.22,8.88,5.25,5.88,2,5.84,1.46,0,0,2.18,1.5,60.1,49.7,0.43,0.67,0.34,0,2.21,0,0,0,16,0,199,39,0,54,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
43,Soy Pass,Commercial Feed,0,100,0,90,30.64,7.89,49.88,5,50,48,7.46,94,1.24,6.69,30,300,25,6,0,100000,230,2,2.12,0,100,75,20,0,100,100,100,80,0,95,50,0.83,6.08,7.69,3.03,6.13,4.25,3.79,2,3.88,1.64,0,0,2.1,1.43,73.6,54.5,0.3,0.76,0.29,0,2.45,0.08,0,0,13,0,100,34,0,44,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
44,Soy Plus (901),Commercial Feed,0,100,0,89.7,16.2,1.2,48.9,8,65,10,1.74,90,5.3,6.5,30,300,25,7,0,100000,230,4,0.3,0,100,75,20,0,100,100,100,80,0,95,50,1.11,5.77,6.42,3.56,7.15,4.61,4.91,2.96,4.81,1.64,94,3.22,2.21,1.42,60.6,40.4,0.27,0.65,0.29,0.03,1.8,0,0.24,0,19.8,0,100,39.6,0.12,61.8,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
45,Zinpro 100,Commercial Feed,0,100,0,95,36.9,0,11.8,100,0,0,0,100,0,20,10,250,30,8,0,100000,1,1,0.1,0,100,75,20,0,100,100,100,80,0,95,50,20,0,0,0,0,0,0,0,0,0,0,0,1.48,0.89,86.3,70.4,0,0,0,0,0,0.47,0,0,0,0,0,0,0,1000000,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
46,Zinpro 40,Commercial Feed,0,100,0,95,34.2,0,5.4,100,0,0,0,100,0,51.5,10,250,30,8,0,100000,1,1,0.1,0,100,75,20,0,100,100,100,80,0,95,50,8,0,0,0,0,0,0,0,0,0,0,0,0.13,-0.38,86.3,70.4,8.5,0,0,1,0,1.1,0,0,0,0,0,0,0,40000,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
47,Zinpro 4-Plex,Commercial Feed,0,100,0,95,54,0,11.5,100,0,0,0,100,1.5,26.5,10,250,30,8,0,100000,1,1,0.1,0,100,75,20,0,100,100,100,80,0,95,50,8.21,3.8,0,0,0,0,0,0,0,0,0,0,1.05,0.5,86,70,0,0,0,0,0,0,0,1800,8800,0,0,14000,0,25300,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
48,Homer Meal,Commercial Feed,0,100,0,88.66,20.56,17.05,46.64,6.75,65,12.54,2.14,94,7.85,6.19,30,300,25,6,0,10000,150,5,0.18,0,100,75,20,0,100,100,100,80,0,95,50,0.83,6.08,7.69,3.03,6.13,4.25,3.79,2.27,3.88,1.64,0,0,0,0,0,0,0.29,0.7,0.32,0,2.3,0.03,0.48,0,22,0,148,41,0,61,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.04,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
